epoch,loss,ce,mse,validation_loss,validation_ce,validation_mse,accuracy,precision,recall
0,3.845949649810791,3.7925994396209717,0.05335064232349396,3.6847243309020996,3.6257569789886475,0.05896715074777603,0.07335767894983292,0.03963320329785347,0.03427281975746155
1,3.5370566844940186,3.486419439315796,0.05063735693693161,3.555068254470825,3.4962615966796875,0.0588066503405571,0.08634202927350998,0.048174187541007996,0.04095767065882683
2,3.443582057952881,3.393639326095581,0.04994259774684906,3.5214273929595947,3.4636456966400146,0.05778173729777336,0.08599577844142914,0.05734530836343765,0.04244386404752731
3,3.3990328311920166,3.3496017456054688,0.0494309701025486,3.506855010986328,3.448507785797119,0.05834738537669182,0.08645220100879669,0.054422520101070404,0.04341777786612511
4,3.3615493774414062,3.312513589859009,0.04903607442975044,3.4803481101989746,3.422825336456299,0.0575227364897728,0.08774276822805405,0.05837670713663101,0.04356956481933594
5,3.323561429977417,3.274905204772949,0.04865645244717598,3.455873966217041,3.3988378047943115,0.05703633278608322,0.09169316291809082,0.06348723918199539,0.04738922789692879
6,3.2837817668914795,3.2355129718780518,0.04826908931136131,3.4350104331970215,3.3780837059020996,0.05692698433995247,0.09849224239587784,0.0593058280646801,0.04834757000207901
7,3.241985321044922,3.194157361984253,0.04782816022634506,3.4095423221588135,3.3524112701416016,0.05713135749101639,0.10680222511291504,0.06327081471681595,0.0534454882144928
8,3.19779372215271,3.1502318382263184,0.047561343759298325,3.3947551250457764,3.3379132747650146,0.056842394173145294,0.11424659192562103,0.06647631525993347,0.05466219410300255
9,3.1522274017333984,3.105241537094116,0.046985965222120285,3.3740622997283936,3.317673921585083,0.05638867989182472,0.1206522062420845,0.07168228179216385,0.05901164561510086
10,3.1072301864624023,3.0605058670043945,0.0467240996658802,3.3571348190307617,3.3008811473846436,0.05625335872173309,0.1256256103515625,0.07120604813098907,0.060795944184064865
11,3.063190460205078,3.016847848892212,0.046342313289642334,3.3462727069854736,3.289445161819458,0.056827761232852936,0.13097673654556274,0.07338271290063858,0.06382804363965988
12,3.020019292831421,2.9740521907806396,0.04596738517284393,3.3431577682495117,3.2867331504821777,0.05642426759004593,0.13379395008087158,0.07640835642814636,0.06711988151073456
13,2.977036714553833,2.9314041137695312,0.04563257098197937,3.3379933834075928,3.281128168106079,0.056865040212869644,0.1356353610754013,0.07636372745037079,0.06500931084156036
14,2.9355812072753906,2.890320062637329,0.04526162147521973,3.3383052349090576,3.2812249660491943,0.057080600410699844,0.13909786939620972,0.08241936564445496,0.06717250496149063
15,2.8943920135498047,2.849484920501709,0.04490729048848152,3.338270902633667,3.2819647789001465,0.05630664527416229,0.1439296156167984,0.08631238341331482,0.07246381044387817
16,2.8534905910491943,2.8089101314544678,0.044580571353435516,3.345080852508545,3.288126230239868,0.05695449188351631,0.14490541815757751,0.08537507057189941,0.07016793638467789
17,2.813443899154663,2.769351005554199,0.04409297555685043,3.3480992317199707,3.2916903495788574,0.05640868470072746,0.1456136554479599,0.0835203006863594,0.07288715988397598
18,2.775049924850464,2.7313969135284424,0.04365316778421402,3.3634791374206543,3.3069117069244385,0.05656741186976433,0.14685699343681335,0.08891525864601135,0.0741410180926323
19,2.7358410358428955,2.692365884780884,0.043475352227687836,3.3620097637176514,3.3053805828094482,0.056628718972206116,0.1473291516304016,0.08684355020523071,0.074028879404068
20,2.69736385345459,2.6544079780578613,0.04295580834150314,3.3798716068267822,3.3227334022521973,0.05713794752955437,0.14600712060928345,0.08699694275856018,0.07400307804346085
21,2.659066915512085,2.616486072540283,0.042580749839544296,3.390249252319336,3.3332760334014893,0.05697343498468399,0.14581824839115143,0.08572765439748764,0.07519878447055817
22,2.6213672161102295,2.5792810916900635,0.042086292058229446,3.4090394973754883,3.3522112369537354,0.056828178465366364,0.1454877406358719,0.08504047244787216,0.07365023344755173
23,2.584563970565796,2.542921304702759,0.04164283350110054,3.423093557357788,3.3665404319763184,0.05655287578701973,0.14452768862247467,0.08630206435918808,0.07486161589622498
24,2.54719877243042,2.5060698986053467,0.04112887755036354,3.4373769760131836,3.380260705947876,0.05711616203188896,0.14762818813323975,0.08937732875347137,0.07569462060928345
25,2.5109519958496094,2.4701199531555176,0.04083206132054329,3.4601552486419678,3.4027457237243652,0.05740923061966896,0.14432308077812195,0.08355249464511871,0.0752091333270073
26,2.4757139682769775,2.4352121353149414,0.040501754730939865,3.4813504219055176,3.4243690967559814,0.056981466710567474,0.14295382797718048,0.08731209486722946,0.07459379732608795
27,2.4392104148864746,2.399322509765625,0.03988789767026901,3.5020241737365723,3.4450950622558594,0.056929659098386765,0.14183637499809265,0.08486191183328629,0.07406746596097946
28,2.4034366607666016,2.3640058040618896,0.03943103551864624,3.5187909603118896,3.462024211883545,0.056766558438539505,0.14254461228847504,0.08645625412464142,0.07333314418792725
29,2.3687870502471924,2.3296797275543213,0.039107296615839005,3.5542187690734863,3.496140956878662,0.058077577501535416,0.14015235006809235,0.08236866444349289,0.07223016023635864
30,2.3333680629730225,2.2948853969573975,0.038482457399368286,3.565920114517212,3.5082507133483887,0.05766933411359787,0.13925525546073914,0.08355291932821274,0.07422652840614319
31,2.299187183380127,2.2612504959106445,0.037936802953481674,3.6082346439361572,3.550684928894043,0.057550132274627686,0.13919229805469513,0.084343820810318,0.0728047639131546
32,2.2649054527282715,2.22731614112854,0.03758932650089264,3.626436710357666,3.569061517715454,0.057375211268663406,0.13617047667503357,0.08197763562202454,0.07048067450523376
33,2.2312583923339844,2.1941773891448975,0.037081100046634674,3.6449785232543945,3.5871663093566895,0.057812098413705826,0.13673706352710724,0.08482684195041656,0.07272671163082123
34,2.198190689086914,2.161557674407959,0.036632925271987915,3.681410074234009,3.6232829093933105,0.05812731385231018,0.13610751926898956,0.08134904503822327,0.07191122323274612
35,2.1656830310821533,2.1294779777526855,0.03620497137308121,3.6971187591552734,3.639822006225586,0.05729660019278526,0.13432906568050385,0.08141268044710159,0.07199989259243011
36,2.132047176361084,2.0964393615722656,0.03560775890946388,3.7393624782562256,3.6810829639434814,0.05827977880835533,0.13281816244125366,0.08171580731868744,0.07052183151245117
37,2.099457263946533,2.0642497539520264,0.035207599401474,3.76009464263916,3.702153444290161,0.057941243052482605,0.13412445783615112,0.08070569485425949,0.07140015810728073
38,2.0691585540771484,2.0344581604003906,0.034700505435466766,3.7835967540740967,3.7248477935791016,0.058748580515384674,0.13297554850578308,0.08075122535228729,0.07060837000608444
39,2.038210391998291,2.004002571105957,0.03420772776007652,3.8187477588653564,3.760617256164551,0.0581301711499691,0.13193678855895996,0.07855580747127533,0.06971395760774612
40,2.005991220474243,1.9722154140472412,0.03377572447061539,3.8421268463134766,3.7834625244140625,0.058664340525865555,0.13020554184913635,0.07780399918556213,0.06974319368600845
